Commit Date,Commit SHA,Removed EPDs 1,2,3,4,5,New bm EPD,Release tag
2023-01-22T10:54:15+01:00,a08b8d4e9711c20acedbfe17d618c3c384b339ec,None,None,12,None,19,None,
2023-01-22T10:55:32+01:00,734315ff3099564c80737ad2be8121008870d28b,None,None,12,None,19,None,
2023-01-22T13:15:46+01:00,a2038c1a011552c3d56d3b318780f7f5eadaf05d,None,None,12,None,19,None,
2023-01-23T07:01:32+01:00,596a528c6a9ace6fb1a8407c86d972d96653418d,None,None,12,None,None,None,
2023-01-25T07:48:39+01:00,3dd0a7a7cd9daf306cffc795c343459de6d6f54b,None,None,12,None,None,None,
2023-01-25T07:51:19+01:00,d3860f8d5efa4d9df726fa605b24689d6a829c7e,None,None,12,None,19,None,
2023-01-28T16:37:29+01:00,def296670dbde6cfad446a735f37f25cfe9df6a2,None,None,12,None,19,None,
2023-01-28T16:47:52+01:00,2167942b6eab54bafb6aed96d7360c74fec95358,None,None,12,None,19,None,
2023-01-28T16:49:27+01:00,2f67409506e65a47f038055de834462b4a707ccd,None,None,12,None,19,None,
2023-01-28T16:50:46+01:00,d4d1cec29631f041adeec98adc5893b5c6a54969,None,None,12,None,None,None,
2023-01-28T16:54:30+01:00,e4e61cd9cc953e6bc17070da84639d53b7514709,None,None,12,None,None,None,
2023-02-02T17:45:57+01:00,0827e00f10709a4475ece44f0588277fc8cdcd9d,None,None,12,None,None,None,
2023-02-02T17:49:23+01:00,7fc0f589d601cb013f995ff44a49b5d2ae6bb253,None,None,12,None,None,None,
2023-02-02T17:58:05+01:00,3589bd008a3470336b3587e3a292a4cd6b02bf6b,None,None,12,None,None,None,
2023-02-02T18:00:14+01:00,da8513f0eae439f526ab0a905a3433bdb44bcf66,None,None,12,None,None,None,
2023-02-03T20:07:56+01:00,5a30b087c3a3c4435e680e6c61082d5432fa0ace,None,None,12,None,None,None,
2023-02-03T20:10:08+01:00,1cdc0f78bd937637128ad10f5168cdb80390f6fb,None,None,12,None,None,None,
2023-02-03T20:15:09+01:00,d2f79ff0e0efc33797120f59355c2a5571b4ab80,None,None,12,None,None,None,
2023-02-03T20:18:50+01:00,8d3457a9966f8c744ab7f8536be408196ccd8af9,None,None,12,None,None,None,
2023-02-09T07:42:52+01:00,d5817a5896a8d93c4560b405da576a02aaa0c08a,None,None,12,None,None,None,
2023-02-09T07:45:05+01:00,8f843633db3faaf447cc191cbaed9f5ddfd374bd,None,None,12,None,None,None,
2023-02-09T07:46:41+01:00,e25bcaed3cb69406cec4cd3d212cdf5232234949,None,None,12,None,None,None,
2023-02-09T07:50:27+01:00,05dea2ca4657dec10637bb53c4ad583f680e0677,None,None,12,None,None,None,
2023-02-18T13:14:05+01:00,e5f6d71b96b5149e5e1df30721e1870abdb218ce,None,None,12,None,None,None,
2023-02-18T13:14:24+01:00,852330ee5060e42a42c1cddd85b82e28d09f4229,None,None,12,None,None,None,
2023-02-18T13:23:18+01:00,2c36d1e7e7374b8babb3cc503c0bc07ceb83dbf8,None,None,12,None,None,None,
2023-02-18T13:30:48+01:00,29c1e072b669c2257e4b48094391e7dc39fb31a5,None,None,None,None,19,None,
2023-02-18T13:34:40+01:00,085cace4574bf561472d8d3d3afe50c2c536b4e3,None,None,12,None,19,None,
2023-02-18T14:01:08+01:00,037ef3e18dc7f5455cc671995ae38d5b4d1fce4a,None,None,12,None,19,None,
2023-02-23T13:22:03+01:00,b4ad3a3c4b68f9c8736f444aeb3364f833247fdc,None,None,12,None,19,None,
2023-02-23T13:24:37+01:00,77dfcbedce2861b2c6c5056d49e7a8731fea4256,None,None,12,None,19,None,
2023-02-23T13:25:35+01:00,08385527dd470ece814ac85013802995a0e7f6ca,None,11,12,None,None,None,
2023-02-23T13:27:57+01:00,69639d764bde566e524b8c2566119bf677cb2622,None,None,12,None,None,None,
2023-02-24T20:12:53+01:00,29b5ad5deaf323f43019443b322090caec13f847,None,None,12,None,None,None,
2023-02-24T20:14:44+01:00,472e726bff0d0e496dc8359cc071726a76317a72,None,None,12,None,19,None,
2023-02-27T08:26:29+01:00,98dafda6c8d432924821d085fd958c89bc8834c3,None,None,12,None,None,None,
2023-02-27T08:27:26+01:00,728b963614a765f5cb64c44a078169cca977750f,None,None,12,None,None,None,
2023-02-27T08:28:45+01:00,ff5a6f8df196d61a0d9b1ebe54d84eeb9af20079,None,None,12,None,None,None,
2023-02-27T08:29:47+01:00,564456a6a824bfca26d6d9af5b35a055eb9fc6c2,None,None,12,None,None,None,
2023-02-27T22:03:50+01:00,6adbc6fa05bbd2a574a8c4c6a6ef2307280217ab,None,None,12,None,None,None,
